iter	Logloss
0	0.5972249023
1	0.5370479492
2	0.5014550781
3	0.4676882813
4	0.4338395508
5	0.3982024414
6	0.3772162109
7	0.3561375977
8	0.3191876953
9	0.2989198242
10	0.2768964844
11	0.2611922607
12	0.2444818848
13	0.2366621094
14	0.2272483887
15	0.2185952148
16	0.213097168
17	0.2033285278
18	0.1935237427
19	0.1861370361
20	0.1805565186
21	0.1729335327
22	0.1677785645
23	0.162373291
24	0.1581831299
25	0.1566200439
26	0.1539292969
27	0.14985177
28	0.1462145386
29	0.1444925049
30	0.1412200684
31	0.1379299438
32	0.1358459229
33	0.1334566528
34	0.1299803467
35	0.1269417847
36	0.1254184692
37	0.1238086914
38	0.1213893555
39	0.1193067871
40	0.1180162354
41	0.1169694946
42	0.1152592285
43	0.113474353
44	0.1126949463
45	0.1111539551
46	0.1094970337
47	0.1082678101
48	0.1065183105
49	0.1051800293
50	0.1042739624
51	0.1025251465
52	0.1014647644
53	0.1006212158
54	0.0998987793
55	0.09861936035
56	0.09781671143
57	0.09713616333
58	0.09620845947
59	0.09523636475
60	0.09473457642
61	0.09407747803
62	0.09365708008
63	0.09273518066
64	0.091821521
65	0.09117739868
66	0.09000022583
67	0.08907137451
68	0.08856314697
69	0.08774552002
70	0.08710120239
71	0.08686224976
72	0.08654639893
73	0.08592115479
74	0.08556876831
75	0.08521522217
76	0.08482269287
77	0.08413877563
78	0.08374642334
79	0.08325241699
80	0.08276640625
81	0.08249974976
82	0.08211785889
83	0.0816932251
84	0.08118990479
85	0.08086452637
86	0.08060137939
87	0.08026443481
88	0.07991603394
89	0.07958692627
90	0.07898493042
91	0.07851530151
92	0.0781144104
93	0.07795691528
94	0.07743375244
95	0.07689816284
96	0.07630966797
97	0.07583798828
98	0.07544324951
99	0.07482390137
