iter	Passed	Remaining
0	12	1245
1	24	1188
2	33	1083
3	42	1009
4	51	980
5	60	944
6	69	921
7	78	902
8	87	880
9	96	869
10	105	854
11	113	835
12	122	819
13	131	808
14	139	790
15	147	776
16	155	760
17	163	744
18	171	730
19	178	714
20	186	700
21	193	685
22	200	672
23	208	659
24	215	646
25	223	635
26	230	623
27	238	614
28	246	604
29	254	593
30	260	580
31	267	568
32	274	558
33	284	551
34	291	541
35	298	530
36	305	519
37	312	509
38	319	499
39	326	489
40	333	479
41	339	469
42	346	459
43	353	449
44	360	441
45	367	431
46	375	423
47	382	414
48	389	405
49	396	396
50	403	387
51	410	378
52	417	370
53	424	361
54	430	352
55	437	343
56	443	334
57	450	326
58	457	317
59	464	309
60	471	301
61	479	293
62	485	285
63	492	276
64	498	268
65	505	260
66	511	252
67	518	243
68	525	235
69	532	228
70	538	220
71	545	212
72	552	204
73	558	196
74	565	188
75	572	180
76	578	172
77	584	164
78	591	157
79	597	149
80	604	141
81	611	134
82	618	126
83	625	119
84	631	111
85	638	103
86	645	96
87	652	88
88	659	81
89	665	73
90	672	66
91	678	59
92	684	51
93	690	44
94	697	36
95	703	29
96	709	21
97	716	14
98	722	7
99	728	0
