age,gender,occupation,employment_type,marital_status,number_of_dependents,monthly_salary,additional_income,annual_bonus,business_income,total_monthly_income,house_rent,food_expenses,transportation,electricity_bill,internet_bill,insurance,education,medical_expenses,entertainment,shopping,other_expenses,total_living_expenses,loan_type,loan_amount,interest_rate,loan_tenure_months,proposed_emi,existing_home_emi,existing_personal_emi,existing_vehicle_emi,existing_cc_emi,total_existing_emi,credit_score,bank_balance,savings,investments,smoking,alcohol,travel_frequency,online_shopping_frequency,debt_to_income_ratio,emergency_fund_months,disposable_income,recommended_max_emi,financial_health_score,emi_default_risk_prob,emi_default_flag
59,Female,Manager,Salaried,Divorced,1,92600.0,0.0,91000.0,0.0,100183.33333333333,24500.0,15400.0,8200.0,2200.0,2100.0,2200.0,11200.0,2400.0,2900.0,6200.0,6700.0,84000.0,Vehicle Loan,1381000.0,13.9,60,32060.0,0.0,0.0,0.0,0.0,0.0,426,328000.0,865500.0,519100.0,Yes,Never,Moderate,Moderate,0.32,14.21,16183.33,45080.0,52.7,0.5624,1
49,Male,Sales Executive,Self-Employed,Married,2,41600.0,0.0,0.0,0.0,41600.0,5000.0,13500.0,4200.0,2600.0,1500.0,10500.0,10800.0,11700.0,9700.0,4800.0,2400.0,76700.0,Business Loan,1849000.0,16.4,120,31440.0,8800.0,0.0,0.0,2000.0,10800.0,343,285400.0,274300.0,62500.0,No,Never,High,Low,1.0154,6.4,-45900.0,7920.0,23.9,0.9995,1
35,Female,Other,Salaried,Single,4,42200.0,0.0,0.0,0.0,42200.0,12200.0,18500.0,2800.0,4800.0,1000.0,3600.0,5500.0,2400.0,10500.0,9700.0,6000.0,77000.0,Vehicle Loan,1486000.0,7.8,120,17870.0,8500.0,0.0,0.0,0.0,8500.0,639,58500.0,200900.0,170300.0,No,Never,Low,Low,0.6249,3.03,-43300.0,10490.0,40.9,0.9075,1
63,Male,Manager,Business,Married,0,61500.0,11400.0,0.0,115200.0,188100.0,61600.0,16900.0,3900.0,2600.0,500.0,1200.0,0.0,14700.0,3700.0,21300.0,2800.0,129200.0,Business Loan,9709000.0,9.2,120,124040.0,0.0,0.0,22100.0,0.0,22100.0,748,1762000.0,2150600.0,3318500.0,No,Never,Low,Moderate,0.7769,25.86,36800.0,62540.0,63.8,0.0049,0
28,Male,Business Owner,Business,Single,3,102500.0,0.0,251000.0,120600.0,244016.6666666667,55500.0,15000.0,4900.0,2200.0,1500.0,8100.0,15300.0,13300.0,2400.0,6100.0,3400.0,127700.0,Home Loan,13581000.0,17.2,180,210940.0,0.0,0.0,20600.0,3200.0,23800.0,714,409800.0,3820100.0,1468800.0,No,Occasionally,High,Low,0.962,27.92,92516.67,86010.0,56.5,0.0056,0
41,Male,Sales Executive,Salaried,Married,0,60100.0,0.0,158000.0,0.0,73266.66666666667,20500.0,12600.0,2300.0,4200.0,1500.0,2700.0,0.0,8500.0,8900.0,9800.0,4300.0,75300.0,Personal Loan,3995000.0,17.7,12,365690.0,25100.0,0.0,0.0,0.0,25100.0,552,501000.0,1377700.0,634500.0,No,Never,Moderate,Moderate,5.3338,18.71,-27133.33,7870.0,36.0,1.0,1
59,Male,Software Engineer,Salaried,Married,1,34600.0,0.0,0.0,0.0,34600.0,11400.0,11100.0,3100.0,1200.0,1200.0,11900.0,8300.0,5900.0,11200.0,8600.0,4100.0,78000.0,Home Loan,1317000.0,8.1,48,32210.0,0.0,4600.0,0.0,0.0,4600.0,366,226100.0,232500.0,576400.0,No,Occasionally,Low,Moderate,1.0639,5.55,-48000.0,10970.0,14.9,0.9993,1
39,Male,Business Owner,Salaried,Married,3,21800.0,3500.0,0.0,0.0,25300.0,6600.0,11300.0,4600.0,1900.0,1700.0,10600.0,16300.0,8400.0,1400.0,10200.0,1200.0,74200.0,Vehicle Loan,570000.0,11.0,360,5430.0,0.0,0.0,0.0,0.0,0.0,635,180400.0,363300.0,314300.0,No,Never,Low,Low,0.2146,7.33,-48900.0,11380.0,59.6,0.3507,0
43,Female,Doctor,Self-Employed,Single,3,28100.0,0.0,0.0,0.0,28100.0,7500.0,16300.0,4500.0,3000.0,2000.0,7700.0,19800.0,11300.0,1200.0,18400.0,6400.0,98100.0,Education Loan,693000.0,7.6,24,31220.0,0.0,0.0,0.0,5400.0,5400.0,761,129700.0,448900.0,712500.0,No,Never,Low,High,1.3032,5.59,-75400.0,7240.0,27.9,0.9444,1
31,Female,Accountant,Business,Married,1,50800.0,0.0,0.0,40700.0,91500.0,25700.0,14400.0,8400.0,2800.0,1900.0,10200.0,16200.0,11600.0,3000.0,11300.0,6900.0,112400.0,Personal Loan,3741000.0,15.5,240,50650.0,0.0,0.0,6600.0,0.0,6600.0,878,378100.0,922400.0,1567600.0,Yes,Never,Moderate,Low,0.6257,10.93,-27500.0,34580.0,66.9,0.06,0
31,Female,Sales Executive,Salaried,Married,1,35300.0,0.0,0.0,0.0,35300.0,5800.0,11700.0,8700.0,2700.0,1000.0,6200.0,17400.0,2000.0,8500.0,19500.0,4700.0,88200.0,Business Loan,1559000.0,14.7,180,21500.0,0.0,6100.0,0.0,7700.0,13800.0,820,345500.0,653100.0,139900.0,Yes,Never,Moderate,Moderate,1.0,9.79,-66700.0,2080.0,48.9,0.7052,1
44,Male,Business Owner,Salaried,Single,2,54000.0,0.0,46000.0,0.0,57833.333333333336,14200.0,13500.0,3500.0,1500.0,1700.0,9700.0,19000.0,12300.0,11600.0,16700.0,2200.0,105900.0,Personal Loan,802000.0,13.4,180,10360.0,12100.0,0.0,0.0,0.0,12100.0,788,477900.0,83100.0,666800.0,No,Never,High,High,0.3884,4.75,-60166.67,13920.0,61.5,0.2863,0
56,Male,Manager,Salaried,Single,2,37200.0,0.0,0.0,0.0,37200.0,11600.0,19500.0,3000.0,2800.0,800.0,8100.0,16600.0,10000.0,9300.0,10300.0,2700.0,94700.0,Personal Loan,2228000.0,14.8,36,77020.0,0.0,0.0,0.0,0.0,0.0,365,190200.0,673700.0,288800.0,No,Occasionally,Low,Low,2.0704,9.12,-57500.0,16740.0,19.6,1.0,1
60,Male,Doctor,Self-Employed,Single,0,28900.0,0.0,0.0,0.0,28900.0,5000.0,4400.0,7100.0,5000.0,700.0,1300.0,0.0,1600.0,7300.0,11900.0,1900.0,46200.0,Home Loan,315000.0,13.1,24,14990.0,0.0,4700.0,0.0,0.0,4700.0,598,64500.0,519000.0,224500.0,No,Never,High,Low,0.6813,11.46,-22000.0,8300.0,47.6,0.8248,1
44,Female,Teacher,Business,Divorced,2,27200.0,0.0,69000.0,31400.0,64350.0,20900.0,12100.0,8400.0,3100.0,2100.0,11400.0,15700.0,5400.0,8700.0,18200.0,2200.0,108200.0,Vehicle Loan,2470000.0,10.0,24,113980.0,0.0,0.0,0.0,13200.0,13200.0,743,576600.0,231900.0,495100.0,No,Frequently,Moderate,Low,1.9764,6.66,-57050.0,15760.0,32.8,0.9978,1
23,Male,Sales Executive,Salaried,Single,1,107100.0,15800.0,0.0,0.0,122900.0,31400.0,17400.0,9700.0,3900.0,1900.0,10500.0,14200.0,8100.0,3500.0,14300.0,7100.0,122000.0,Home Loan,4204000.0,15.4,36,146560.0,0.0,0.0,0.0,0.0,0.0,622,818900.0,1149000.0,1542600.0,No,Never,Moderate,Moderate,1.1925,16.13,900.0,55300.0,34.7,0.7508,1
42,Male,Doctor,Salaried,Married,1,76500.0,0.0,0.0,0.0,76500.0,15700.0,18900.0,2100.0,1800.0,2000.0,11500.0,14800.0,3600.0,8600.0,22000.0,4400.0,105400.0,Vehicle Loan,2869000.0,15.7,36,100440.0,24400.0,4400.0,0.0,0.0,28800.0,632,136900.0,826300.0,303100.0,No,Frequently,Low,Moderate,1.6894,7.18,-57700.0,5620.0,27.8,0.9969,1
22,Female,Manager,Salaried,Single,1,116500.0,12700.0,0.0,0.0,129200.0,33000.0,11800.0,5300.0,1300.0,800.0,9000.0,18300.0,3200.0,4500.0,23500.0,1800.0,112500.0,Education Loan,4439000.0,16.5,24,218410.0,0.0,0.0,17000.0,7200.0,24200.0,330,289300.0,1116000.0,978300.0,No,Occasionally,Low,Moderate,1.8778,10.28,-7500.0,33940.0,19.8,0.9999,1
44,Male,Business Owner,Salaried,Single,1,64200.0,0.0,0.0,0.0,64200.0,12900.0,18400.0,7900.0,5400.0,2300.0,5500.0,14600.0,1200.0,3400.0,18500.0,2800.0,92900.0,Home Loan,525000.0,17.5,180,8270.0,0.0,0.0,0.0,0.0,0.0,467,361900.0,1156600.0,1351000.0,No,Occasionally,Low,Low,0.1288,16.35,-28700.0,28890.0,63.9,0.2744,0
64,Male,Software Engineer,Salaried,Married,3,39500.0,0.0,94000.0,0.0,47333.333333333336,14700.0,12800.0,8600.0,2700.0,800.0,3300.0,15900.0,13800.0,3600.0,24800.0,7600.0,108600.0,Education Loan,2829000.0,15.3,24,137570.0,0.0,0.0,0.0,0.0,0.0,404,250200.0,688500.0,1175000.0,Yes,Occasionally,Low,Moderate,2.9064,8.64,-61266.67,21300.0,24.3,1.0,1
50,Male,Accountant,Salaried,Divorced,1,95000.0,0.0,205000.0,0.0,112083.33333333333,24700.0,9100.0,2500.0,2800.0,2200.0,3000.0,6700.0,1800.0,8300.0,15700.0,4600.0,81400.0,Vehicle Loan,6610000.0,8.1,120,80550.0,20800.0,6100.0,0.0,0.0,26900.0,321,491800.0,375100.0,46300.0,No,Occasionally,Moderate,Moderate,0.9587,8.0,3783.33,23540.0,22.3,0.9969,1
58,Female,Doctor,Salaried,Married,4,48200.0,0.0,0.0,0.0,48200.0,15700.0,23800.0,7400.0,5400.0,1200.0,2600.0,18500.0,6100.0,9400.0,2900.0,4600.0,97600.0,Personal Loan,1631000.0,7.7,60,32840.0,0.0,8400.0,0.0,0.0,8400.0,424,219600.0,896700.0,120700.0,No,Never,Moderate,Moderate,0.8556,10.53,-57800.0,13290.0,37.1,0.974,1
22,Female,Accountant,Salaried,Married,0,54700.0,0.0,0.0,0.0,54700.0,12400.0,16600.0,4300.0,4500.0,700.0,3400.0,0.0,3900.0,7400.0,13600.0,4700.0,71500.0,Education Loan,900000.0,15.3,180,12780.0,12800.0,3200.0,0.0,10000.0,26000.0,718,116800.0,102700.0,1403100.0,Yes,Frequently,Moderate,Moderate,0.709,2.25,-42800.0,0.0,36.9,0.8926,1
41,Male,Software Engineer,Salaried,Married,2,48000.0,0.0,0.0,0.0,48000.0,12700.0,11100.0,2600.0,4800.0,1100.0,7100.0,5700.0,11400.0,1700.0,7300.0,1800.0,67300.0,Education Loan,723000.0,8.1,180,6950.0,10000.0,0.0,0.0,0.0,10000.0,399,140500.0,591200.0,309100.0,No,Occasionally,Moderate,Moderate,0.3531,9.47,-29300.0,11600.0,52.1,0.9569,1
53,Male,Doctor,Salaried,Single,2,11200.0,3800.0,23000.0,0.0,16916.666666666668,5900.0,8800.0,5900.0,4400.0,900.0,8500.0,16600.0,10900.0,1400.0,9700.0,7800.0,80800.0,Vehicle Loan,138000.0,10.8,240,1410.0,5600.0,2300.0,0.0,0.0,7900.0,626,87600.0,184900.0,158400.0,Yes,Occasionally,Low,Moderate,0.5503,3.07,-71783.33,0.0,40.2,0.9088,1
32,Other,Analyst,Salaried,Single,2,109400.0,14700.0,272000.0,0.0,146766.66666666666,20100.0,9300.0,3300.0,1500.0,1500.0,4500.0,9100.0,12300.0,3400.0,13300.0,1600.0,79900.0,Vehicle Loan,5673000.0,8.9,48,140900.0,0.0,0.0,0.0,1900.0,1900.0,733,162200.0,348700.0,1484200.0,No,Never,Moderate,Moderate,0.973,6.25,64966.67,64140.0,58.9,0.4686,1
42,Female,Manager,Self-Employed,Married,2,62700.0,9600.0,0.0,0.0,72300.0,20500.0,11700.0,7900.0,5800.0,2400.0,7000.0,6100.0,9600.0,4200.0,8800.0,5900.0,89900.0,Home Loan,2263000.0,17.7,60,57100.0,0.0,0.0,0.0,0.0,0.0,339,278400.0,1028200.0,1878100.0,No,Occasionally,Moderate,Moderate,0.7898,14.53,-17600.0,32540.0,37.2,0.9637,1
64,Male,Doctor,Self-Employed,Divorced,1,57800.0,0.0,0.0,0.0,57800.0,7800.0,16700.0,7900.0,5500.0,1200.0,4800.0,7400.0,9300.0,5500.0,9100.0,1400.0,76600.0,Home Loan,1612000.0,10.8,48,41510.0,0.0,0.0,3100.0,0.0,3100.0,667,144400.0,1114900.0,282200.0,No,Occasionally,Moderate,Moderate,0.7718,15.8,-21900.0,22910.0,48.4,0.3782,0
